;  Table crwfpc2comp$wfpc2_f814w_004.tab  Thu 08:19:11 15-May-97
; WAVELENGTH   THROUGHPUT        error
;  ANGSTROMS TRANSMISSION TRANSMISSION
      7008.0     0.064938           0.
      7010.0      0.06906           0.
      7012.0     0.073374           0.
      7014.0     0.077977           0.
      7016.0     0.082964           0.
      7018.0     0.088211           0.
      7020.0     0.093813           0.
      7022.0     0.099741           0.
      7024.0      0.10589           0.
      7026.0      0.11252           0.
      7028.0      0.11973           0.
      7030.0      0.12713           0.
      7032.0      0.13501           0.
      7034.0      0.14327           0.
      7036.0      0.15201           0.
      7038.0      0.16124           0.
      7040.0      0.17094           0.
      7042.0      0.18132           0.
      7044.0      0.19208           0.
      7046.0      0.20323           0.
      7048.0      0.21486           0.
      7050.0      0.22696           0.
      7052.0      0.23974           0.
      7054.0        0.253           0.
      7056.0      0.26694           0.
      7058.0      0.28135           0.
      7060.0      0.29625           0.
      7062.0      0.31152           0.
      7064.0      0.32709           0.
      7066.0      0.34333           0.
      7068.0      0.35995           0.
      7070.0      0.37686           0.
      7072.0      0.39426           0.
      7074.0      0.41223           0.
      7076.0      0.43039           0.
      7078.0      0.44855           0.
      7080.0      0.46681           0.
      7082.0      0.48535           0.
      7084.0      0.50409           0.
      7086.0      0.52283           0.
      7088.0      0.54108           0.
      7090.0      0.55953           0.
      7092.0       0.5775           0.
      7094.0      0.59509           0.
      7096.0      0.61229           0.
      7098.0      0.62939           0.
      7100.0      0.64582           0.
      7102.0      0.66187           0.
      7104.0      0.67724           0.
      7106.0      0.69194           0.
      7108.0      0.70607           0.
      7110.0      0.71952           0.
      7112.0      0.73221           0.
      7114.0      0.74374           0.
      7116.0      0.75517           0.
      7118.0      0.76584           0.
      7120.0      0.77602           0.
      7122.0      0.78573           0.
      7124.0      0.79438           0.
      7126.0      0.80274           0.
      7128.0      0.81042           0.
      7130.0      0.81744           0.
      7132.0      0.82388           0.
      7134.0      0.82993           0.
      7136.0       0.8356           0.
      7138.0       0.8404           0.
      7140.0      0.84502           0.
      7142.0      0.84895           0.
      7144.0       0.8528           0.
      7146.0      0.85597           0.
      7148.0      0.85914           0.
      7150.0      0.86202           0.
      7152.0      0.86462           0.
      7154.0      0.86683           0.
      7156.0      0.86885           0.
      7158.0      0.87106           0.
      7160.0      0.87288           0.
      7162.0      0.87442           0.
      7164.0      0.87576           0.
      7166.0      0.87711           0.
      7168.0      0.87826           0.
      7170.0       0.8797           0.
      7172.0      0.88086           0.
      7174.0      0.88191           0.
      7176.0      0.88307           0.
      7178.0      0.88422           0.
      7180.0      0.88508           0.
      7182.0      0.88585           0.
      7184.0      0.88681           0.
      7186.0      0.88778           0.
      7188.0      0.88845           0.
      7190.0      0.88941           0.
      7192.0      0.89037           0.
      7194.0      0.89123           0.
      7196.0      0.89239           0.
      7198.0      0.89344           0.
      7200.0       0.8945           0.
      7202.0      0.89565           0.
      7204.0      0.89671           0.
      7206.0      0.89786           0.
      7208.0      0.89883           0.
      7210.0      0.89988           0.
      7212.0      0.90075           0.
      7214.0       0.9019           0.
      7216.0      0.90305           0.
      7218.0      0.90392           0.
      7220.0      0.90498           0.
      7222.0      0.90613           0.
      7224.0      0.90719           0.
      7226.0      0.90853           0.
      7228.0      0.90988           0.
      7230.0      0.91093           0.
      7232.0      0.91209           0.
      7234.0      0.91305           0.
      7236.0       0.9141           0.
      7238.0      0.91535           0.
      7240.0      0.91651           0.
      7242.0      0.91756           0.
      7244.0      0.91852           0.
      7246.0      0.91958           0.
      7248.0      0.92045           0.
      7250.0      0.92112           0.
      7252.0      0.92208           0.
      7254.0      0.92304           0.
      7256.0      0.92391           0.
      7258.0      0.92467           0.
      7260.0      0.92573           0.
      7262.0      0.92631           0.
      7264.0      0.92708           0.
      7266.0      0.92784           0.
      7268.0      0.92823           0.
      7270.0      0.92871           0.
      7272.0      0.92938           0.
      7274.0      0.93005           0.
      7276.0      0.93025           0.
      7278.0      0.93054           0.
      7280.0      0.93082           0.
      7282.0       0.9313           0.
      7284.0      0.93159           0.
      7286.0      0.93178           0.
      7288.0      0.93207           0.
      7290.0      0.93226           0.
      7292.0      0.93207           0.
      7294.0      0.93188           0.
      7296.0      0.93188           0.
      7298.0       0.9315           0.
      7300.0      0.93111           0.
