;  Table pcf850lpsys.tab  Mon 12:21:20 02-Jun-97
;      WAVELENGTH      THROUGHPUT
;       angstroms                
         8758.559      0.03758742
         8760.006      0.03761795
         8761.459      0.03763556
         8762.906      0.03765298
         8764.364      0.03767039
         8765.813      0.03768756
         8767.266      0.03770466
         8768.715      0.03772158
         8770.164      0.03773763
         8771.623      0.03774776
         8773.077      0.03775772
         8774.527      0.03776756
         8775.977      0.03777726
         8777.433       0.0377869
         8778.888      0.03779642
         8780.343      0.03780631
         8781.789      0.03781763
         8783.245      0.03782891
         8784.701      0.03784006
         8786.158       0.0378511
         8787.615      0.03786202
         8789.063      0.03787274
          8790.52      0.03788324
         8791.978      0.03789327
         8793.435      0.03790318
         8794.893      0.03791296
         8796.347      0.03792261
         8797.805      0.03793216
         8799.259      0.03794155
         8800.723      0.03794656
         8802.177      0.03794701
         8803.632      0.03794734
         8805.091      0.03794757
         8806.546       0.0379477
         8808.012      0.03794772
         8809.467      0.03794763
         8810.928       0.0379448
         8812.389      0.03794036
          8813.84      0.03793585
         8815.311      0.03793117
         8816.763      0.03792645
         8818.225       0.0379216
         8819.687      0.03791667
         8821.145      0.03790699
         8822.612      0.03789588
         8824.065      0.03788478
         8825.528      0.03787353
         8826.991      0.03786219
         8828.455      0.03785076
         8829.919      0.03783923
         8831.378      0.03783938
         8832.837      0.03784011
         8834.302      0.03784072
         8835.767      0.03784122
         8837.231      0.03784161
         8838.692      0.03784188
         8840.152      0.03784075
         8841.618      0.03782842
         8843.085      0.03781599
         8844.551      0.03780349
         8846.018      0.03779088
         8847.475      0.03777827
         8848.941      0.03776547
         8850.408      0.03775017
         8851.876      0.03772844
         8853.344      0.03770665
         8854.807      0.03768486
         8856.274      0.03766292
         8857.738      0.03764097
         8859.212      0.03761879
         8860.676      0.03760209
         8862.146      0.03759156
         8863.609      0.03758098
         8865.079      0.03757024
         8866.549      0.03755942
         8868.015      0.03754853
         8869.484      0.03753751
         8870.955      0.03752248
         8872.421      0.03750531
         8873.897      0.03748793
         8875.358      0.03747065
          8876.83      0.03745316
         8878.302      0.03743557
         8879.774      0.03741791
         8881.247      0.03740405
         8882.709       0.0373909
         8884.183      0.03737755
         8885.655       0.0373641
         8887.129      0.03735057
         8888.603      0.03733694
         8890.071      0.03732267
          8891.54      0.03729706
         8893.015      0.03727126
         8894.489       0.0372454
         8895.964      0.03721946
         8897.434      0.03719354
         8898.909      0.03716745
          8900.38      0.03714468
         8901.855      0.03713123
         8903.331      0.03711768
         8904.808      0.03710402
         8906.279      0.03709032
         8907.751       0.0370765
         8909.228      0.03706256
         8910.705      0.03704195
         8912.183      0.03701412
          8913.66      0.03698622
         8915.133      0.03695833
         8916.606      0.03693038
         8918.085      0.03690225
         8919.563      0.03687405
         8921.043       0.0368461
         8922.517      0.03681835
         8923.996      0.03679041
         8925.476       0.0367624
         8926.951      0.03673439
         8928.431      0.03670624
         8929.906      0.03667809
         8931.387       0.0366526
         8932.868      0.03662721
         8934.344      0.03660184
         8935.825      0.03657629
         8937.303      0.03655074
