# Vega spectrum from Kurucz models, resolution 500
# microns	erg/s/cm2/micron
0.152989	1.06563e+12
0.153143	9.82439e+11
0.153296	8.01357e+11
0.153450	8.36920e+11
0.153604	9.51400e+11
0.153758	9.95131e+11
0.153912	1.02881e+12
0.154066	1.01762e+12
0.154221	9.97770e+11
0.154375	1.00908e+12
0.154530	9.81936e+11
0.154685	9.79046e+11
0.154840	1.00179e+12
0.154995	1.01335e+12
0.155151	9.48887e+11
0.155306	8.64818e+11
0.155462	8.15306e+11
0.155618	8.30763e+11
0.155774	8.42450e+11
0.155930	6.57598e+11
0.156086	4.57542e+11
0.156243	5.28542e+11
0.156399	7.43552e+11
0.156556	8.94851e+11
0.156713	9.02768e+11
0.156870	9.26644e+11
0.157027	9.57306e+11
0.157185	9.21869e+11
0.157342	7.97336e+11
0.157500	8.00101e+11
0.157658	9.19984e+11
0.157816	9.83193e+11
0.157974	1.00606e+12
0.158133	1.02630e+12
0.158291	1.07091e+12
0.158450	1.01599e+12
0.158609	9.66857e+11
0.158768	9.87591e+11
0.158927	1.01901e+12
0.159086	1.03384e+12
0.159246	1.04942e+12
0.159405	1.05193e+12
0.159565	1.07053e+12
0.159725	1.13449e+12
0.159885	1.12745e+12
0.160046	1.05093e+12
0.160206	1.03358e+12
0.160367	1.06475e+12
0.160527	1.04439e+12
0.160688	1.01323e+12
0.160849	1.00129e+12
0.161011	1.00154e+12
0.161172	9.78041e+11
0.161334	9.62333e+11
0.161495	1.00581e+12
0.161657	1.03044e+12
0.161819	1.00544e+12
0.161982	9.55672e+11
0.162144	9.06915e+11
0.162307	8.86055e+11
0.162469	9.05658e+11
0.162632	9.24257e+11
0.162795	9.30288e+11
0.162958	8.51874e+11
0.163122	8.26616e+11
0.163285	8.49864e+11
0.163449	9.09680e+11
0.163613	9.74648e+11
0.163777	9.99027e+11
0.163941	9.63715e+11
0.164105	9.62835e+11
0.164270	9.91361e+11
0.164435	1.02981e+12
0.164599	1.05658e+12
0.164764	1.04100e+12
0.164930	9.89099e+11
0.165095	9.95131e+11
0.165260	9.99027e+11
0.165426	8.75248e+11
0.165592	6.60237e+11
0.165758	5.49527e+11
0.165924	7.64035e+11
0.166091	9.44111e+11
0.166257	9.56929e+11
0.166424	9.80051e+11
0.166591	1.02039e+12
0.166758	9.80680e+11
0.166925	8.39685e+11
0.167092	7.22315e+11
0.167260	8.08269e+11
0.167427	8.61676e+11
0.167595	9.18099e+11
0.167763	9.73014e+11
0.167931	9.90481e+11
0.168100	1.04288e+12
0.168268	1.06010e+12
0.168437	1.03585e+12
0.168606	9.80051e+11
0.168775	9.63589e+11
0.168944	9.84449e+11
0.169113	9.72888e+11
0.169283	9.42478e+11
0.169453	9.09303e+11
0.169622	8.75625e+11
0.169792	8.93092e+11
0.169963	9.23628e+11
0.170133	9.07418e+11
0.170304	9.20487e+11
0.170474	9.48133e+11
0.170645	9.17219e+11
0.170816	8.75122e+11
0.170988	8.88819e+11
0.171159	9.07920e+11
0.171331	9.06789e+11
0.171502	9.01763e+11
0.171674	8.86809e+11
0.171846	8.63184e+11
0.172019	8.53131e+11
0.172191	9.01009e+11
0.172364	9.20235e+11
0.172537	8.54388e+11
0.172709	8.64315e+11
0.172883	9.42352e+11
0.173056	9.39462e+11
0.173229	9.32425e+11
0.173403	9.35943e+11
0.173577	9.42101e+11
0.173751	9.54667e+11
0.173925	9.68113e+11
0.174099	9.28781e+11
0.174274	9.00883e+11
0.174449	9.35692e+11
0.174624	9.51400e+11
0.174799	9.36949e+11
0.174974	9.48635e+11
0.175149	9.57683e+11
0.175325	9.88094e+11
0.175501	1.03182e+12
0.175677	1.02341e+12
0.175853	9.66731e+11
0.176029	9.06161e+11
0.176205	8.89950e+11
0.176382	8.51372e+11
0.176559	8.25611e+11
0.176736	8.75625e+11
0.176913	9.00004e+11
0.177090	9.02768e+11
0.177268	9.35189e+11
0.177446	9.69118e+11
0.177624	9.64595e+11
0.177802	9.79046e+11
0.177980	9.95885e+11
0.178158	9.79046e+11
0.178337	9.73642e+11
0.178516	9.39588e+11
0.178695	9.02768e+11
0.178874	9.49264e+11
0.179053	1.02705e+12
0.179233	1.04653e+12
0.179412	1.03157e+12
0.179592	1.01473e+12
0.179772	1.00242e+12
0.179952	1.02881e+12
0.180133	1.04942e+12
0.180313	1.01876e+12
0.180494	9.73642e+11
0.180675	9.35943e+11
0.180856	9.19733e+11
0.181038	9.66982e+11
0.181219	9.93623e+11
0.181401	9.77161e+11
0.181583	9.38834e+11
0.181765	9.24131e+11
0.181947	9.35943e+11
0.182129	9.39211e+11
0.182312	9.37703e+11
0.182495	9.28403e+11
0.182678	9.20989e+11
0.182861	9.08297e+11
0.183044	8.80526e+11
0.183228	8.74494e+11
0.183411	9.22120e+11
0.183595	9.36446e+11
0.183779	9.15083e+11
0.183963	8.55770e+11
0.184148	8.01357e+11
0.184332	8.18071e+11
0.184517	8.39057e+11
0.184702	8.27998e+11
0.184887	8.65823e+11
0.185073	8.79772e+11
0.185258	8.44837e+11
0.185444	8.64189e+11
0.185630	8.96988e+11
0.185816	8.73740e+11
0.186002	8.55016e+11
0.186189	8.71352e+11
0.186375	8.76379e+11
0.186562	8.85175e+11
0.186749	8.89196e+11
0.186936	8.80777e+11
0.187124	9.02391e+11
0.187311	9.20864e+11
0.187499	9.02014e+11
0.187687	8.86055e+11
0.187875	8.91584e+11
0.188064	8.81531e+11
0.188252	9.08674e+11
0.188441	9.25890e+11
0.188630	9.19858e+11
0.188819	8.99878e+11
0.189008	8.94223e+11
0.189198	9.07292e+11
0.189387	9.11439e+11
0.189577	9.03648e+11
0.189767	8.83416e+11
0.189958	8.56273e+11
0.190148	8.44586e+11
0.190339	8.57403e+11
0.190529	8.51120e+11
0.190720	8.50995e+11
0.190912	8.52880e+11
